# Daily

          day        rx      |     tx      |    total    |   avg. rate
     ------------------------+-------------+-------------+---------------
     2023-06-08     3.33 GiB |    2.33 GiB |    5.66 GiB |  562.30 kbit/s
     ------------------------+-------------+-------------+---------------

# Hourly

         hour        rx      |     tx      |    total    |   avg. rate
     ------------------------+-------------+-------------+---------------
     2023-06-08
         00:00    139.07 MiB |   97.80 MiB |  236.86 MiB |  551.93 kbit/s
         01:00    138.99 MiB |   98.40 MiB |  237.39 MiB |  553.16 kbit/s
         02:00    139.11 MiB |   97.92 MiB |  237.03 MiB |  552.33 kbit/s
         03:00    139.06 MiB |   98.27 MiB |  237.33 MiB |  553.01 kbit/s
         04:00    138.79 MiB |   97.52 MiB |  236.31 MiB |  550.64 kbit/s
         05:00    139.35 MiB |   98.94 MiB |  238.29 MiB |  555.25 kbit/s
         06:00    138.89 MiB |   97.86 MiB |  236.75 MiB |  551.68 kbit/s
         07:00    139.11 MiB |   98.33 MiB |  237.44 MiB |  553.28 kbit/s
         08:00    138.85 MiB |   98.37 MiB |  237.22 MiB |  552.75 kbit/s
         09:00    158.12 MiB |   98.51 MiB |  256.63 MiB |  597.99 kbit/s
         10:00    137.70 MiB |   98.34 MiB |  236.04 MiB |  550.02 kbit/s
         11:00    138.90 MiB |   98.14 MiB |  237.04 MiB |  552.35 kbit/s
         12:00    139.21 MiB |   98.34 MiB |  237.55 MiB |  553.52 kbit/s
         13:00    158.11 MiB |   97.93 MiB |  256.04 MiB |  596.62 kbit/s
         14:00    140.26 MiB |   98.87 MiB |  239.13 MiB |  557.21 kbit/s
         15:00    142.96 MiB |  100.53 MiB |  243.50 MiB |  567.39 kbit/s
         16:00    142.67 MiB |  100.51 MiB |  243.18 MiB |  566.65 kbit/s
         17:00    143.17 MiB |  100.91 MiB |  244.09 MiB |  568.76 kbit/s
         18:00    143.15 MiB |  100.85 MiB |  243.99 MiB |  568.54 kbit/s
         19:00    142.80 MiB |  100.59 MiB |  243.39 MiB |  567.13 kbit/s
         20:00    142.98 MiB |  100.81 MiB |  243.79 MiB |  568.07 kbit/s
         21:00    143.05 MiB |  100.33 MiB |  243.38 MiB |  567.13 kbit/s
         22:00    142.89 MiB |  100.62 MiB |  243.52 MiB |  567.43 kbit/s
         23:00    143.31 MiB |  102.37 MiB |  245.68 MiB |  572.47 kbit/s
     ------------------------+-------------+-------------+---------------

# 5 minute

         time        rx      |     tx      |    total    |   avg. rate
     ------------------------+-------------+-------------+---------------
     2023-06-08
         00:00     11.64 MiB |    8.24 MiB |   19.88 MiB |  555.78 kbit/s
         00:05     11.41 MiB |    8.09 MiB |   19.50 MiB |  545.28 kbit/s
         00:10     11.66 MiB |    8.22 MiB |   19.88 MiB |  555.79 kbit/s
         00:15     11.68 MiB |    8.12 MiB |   19.79 MiB |  553.51 kbit/s
         00:20     11.48 MiB |    8.07 MiB |   19.56 MiB |  546.86 kbit/s
         00:25     11.65 MiB |    8.25 MiB |   19.90 MiB |  556.55 kbit/s
         00:30     11.64 MiB |    8.15 MiB |   19.78 MiB |  553.21 kbit/s
         00:35     11.47 MiB |    8.10 MiB |   19.57 MiB |  547.18 kbit/s
         00:40     11.63 MiB |    8.23 MiB |   19.86 MiB |  555.31 kbit/s
         00:45     11.68 MiB |    8.17 MiB |   19.84 MiB |  554.85 kbit/s
         00:50     11.47 MiB |    8.01 MiB |   19.48 MiB |  544.68 kbit/s
         00:55     11.67 MiB |    8.15 MiB |   19.82 MiB |  554.19 kbit/s
         01:00     11.60 MiB |    8.15 MiB |   19.75 MiB |  552.24 kbit/s
         01:05     11.43 MiB |    8.17 MiB |   19.60 MiB |  548.01 kbit/s
         01:10     11.69 MiB |    8.25 MiB |   19.94 MiB |  557.47 kbit/s
         01:15     11.63 MiB |    8.12 MiB |   19.75 MiB |  552.20 kbit/s
         01:20     11.62 MiB |    8.22 MiB |   19.85 MiB |  554.96 kbit/s
         01:25     11.48 MiB |    8.12 MiB |   19.60 MiB |  548.10 kbit/s
         01:30     11.59 MiB |    8.24 MiB |   19.82 MiB |  554.24 kbit/s
         01:35     11.66 MiB |    8.34 MiB |   20.00 MiB |  559.22 kbit/s
         01:40     11.63 MiB |    8.23 MiB |   19.86 MiB |  555.21 kbit/s
         01:45     11.39 MiB |    8.02 MiB |   19.42 MiB |  542.90 kbit/s
         01:50     11.63 MiB |    8.21 MiB |   19.84 MiB |  554.64 kbit/s
         01:55     11.65 MiB |    8.33 MiB |   19.98 MiB |  558.75 kbit/s
         02:00     11.38 MiB |    8.08 MiB |   19.46 MiB |  544.15 kbit/s
         02:05     11.63 MiB |    8.18 MiB |   19.80 MiB |  553.75 kbit/s
         02:10     11.67 MiB |    8.09 MiB |   19.76 MiB |  552.45 kbit/s
         02:15     11.62 MiB |    8.17 MiB |   19.79 MiB |  553.33 kbit/s
         02:20     11.64 MiB |    8.14 MiB |   19.78 MiB |  553.10 kbit/s
         02:25     11.48 MiB |    8.17 MiB |   19.65 MiB |  549.54 kbit/s
         02:30     11.63 MiB |    8.06 MiB |   19.70 MiB |  550.71 kbit/s
         02:35     11.59 MiB |    8.25 MiB |   19.85 MiB |  554.92 kbit/s
         02:40     11.58 MiB |    8.18 MiB |   19.76 MiB |  552.66 kbit/s
         02:45     11.54 MiB |    8.11 MiB |   19.66 MiB |  549.60 kbit/s
         02:50     11.66 MiB |    8.29 MiB |   19.94 MiB |  557.67 kbit/s
         02:55     11.69 MiB |    8.20 MiB |   19.89 MiB |  556.06 kbit/s
         03:00     11.46 MiB |    8.07 MiB |   19.53 MiB |  546.03 kbit/s
         03:05     11.59 MiB |    8.31 MiB |   19.90 MiB |  556.33 kbit/s
         03:10     11.62 MiB |    8.16 MiB |   19.79 MiB |  553.24 kbit/s
         03:15     11.67 MiB |    8.12 MiB |   19.79 MiB |  553.26 kbit/s
         03:20     11.62 MiB |    8.21 MiB |   19.83 MiB |  554.36 kbit/s
         03:25     11.48 MiB |    8.20 MiB |   19.68 MiB |  550.20 kbit/s
