# Daily

          day        rx      |     tx      |    total    |   avg. rate
     ------------------------+-------------+-------------+---------------
     2023-06-04     2.70 GiB |    1.92 GiB |    4.61 GiB |  458.71 kbit/s


# hourly

         hour        rx      |     tx      |    total    |   avg. rate
     ------------------------+-------------+-------------+---------------
     2023-06-04
         14:00    111.79 MiB |   79.51 MiB |  191.30 MiB |  445.77 kbit/s
         15:00    109.28 MiB |   78.23 MiB |  187.51 MiB |  436.94 kbit/s
         16:00    107.95 MiB |   77.13 MiB |  185.08 MiB |  431.26 kbit/s
         17:00    111.92 MiB |   79.86 MiB |  191.78 MiB |  446.88 kbit/s
         18:00    111.58 MiB |   79.09 MiB |  190.67 MiB |  444.30 kbit/s
         19:00    111.32 MiB |   79.43 MiB |  190.75 MiB |  444.47 kbit/s
         20:00    111.10 MiB |   79.63 MiB |  190.73 MiB |  444.44 kbit/s
         21:00    111.25 MiB |   79.21 MiB |  190.46 MiB |  443.81 kbit/s
         22:00    111.23 MiB |   79.45 MiB |  190.68 MiB |  444.32 kbit/s
         23:00    111.27 MiB |   79.15 MiB |  190.42 MiB |  443.72 kbit/s

 
# 5 minute

         time        rx      |     tx      |    total    |   avg. rate
     ------------------------+-------------+-------------+---------------
     2023-06-04
         14:00      9.29 MiB |    6.61 MiB |   15.90 MiB |  444.64 kbit/s
         14:05      9.45 MiB |    6.72 MiB |   16.17 MiB |  452.08 kbit/s
         14:10      9.19 MiB |    6.41 MiB |   15.61 MiB |  436.38 kbit/s
         14:15      9.59 MiB |    6.76 MiB |   16.35 MiB |  457.19 kbit/s
         14:20      9.23 MiB |    6.61 MiB |   15.84 MiB |  442.92 kbit/s
         14:25      9.30 MiB |    6.58 MiB |   15.89 MiB |  444.23 kbit/s
         14:30      9.29 MiB |    6.63 MiB |   15.92 MiB |  445.04 kbit/s
         14:35      9.30 MiB |    6.48 MiB |   15.77 MiB |  441.03 kbit/s
         14:40      9.41 MiB |    6.73 MiB |   16.14 MiB |  451.38 kbit/s
         14:45      9.22 MiB |    6.56 MiB |   15.78 MiB |  441.25 kbit/s
         14:50      9.37 MiB |    6.75 MiB |   16.12 MiB |  450.71 kbit/s
         14:55      9.14 MiB |    6.68 MiB |   15.82 MiB |  442.37 kbit/s
         15:00      9.33 MiB |    6.76 MiB |   16.09 MiB |  450.03 kbit/s
         15:05      9.18 MiB |    6.57 MiB |   15.74 MiB |  440.22 kbit/s
         15:10      9.38 MiB |    6.73 MiB |   16.11 MiB |  450.56 kbit/s
         15:15      9.19 MiB |    6.49 MiB |   15.68 MiB |  438.48 kbit/s
         15:20      9.38 MiB |    6.72 MiB |   16.10 MiB |  450.06 kbit/s
         15:25      9.18 MiB |    6.49 MiB |   15.67 MiB |  438.21 kbit/s
         15:30      9.32 MiB |    6.66 MiB |   15.98 MiB |  446.88 kbit/s
         15:35      9.36 MiB |    6.75 MiB |   16.11 MiB |  450.42 kbit/s
         15:40      9.18 MiB |    6.58 MiB |   15.76 MiB |  440.56 kbit/s
         15:45      9.20 MiB |    6.76 MiB |   15.95 MiB |  446.03 kbit/s
         15:50      8.30 MiB |    5.82 MiB |   14.13 MiB |  394.98 kbit/s
         15:55      8.29 MiB |    5.91 MiB |   14.19 MiB |  396.86 kbit/s
