# Daily

          day        rx      |     tx      |    total    |   avg. rate
         03:50     12.85 MiB |    9.25 MiB |   22.10 MiB |  618.09 kbit/s
         03:55     12.59 MiB |    8.88 MiB |   21.47 MiB |  600.27 kbit/s
         04:00     12.82 MiB |    9.09 MiB |   21.91 MiB |  612.64 kbit/s
         04:05     12.90 MiB |    8.99 MiB |   21.89 MiB |  612.07 kbit/s
         04:10     12.54 MiB |    8.90 MiB |   21.43 MiB |  599.32 kbit/s
         04:15     12.79 MiB |    9.03 MiB |   21.82 MiB |  610.05 kbit/s
         04:20     12.82 MiB |    8.96 MiB |   21.78 MiB |  609.09 kbit/s
         04:25     12.74 MiB |    9.02 MiB |   21.76 MiB |  608.47 kbit/s
         04:30     12.63 MiB |    8.74 MiB |   21.36 MiB |  597.34 kbit/s
         04:35     12.80 MiB |    9.01 MiB |   21.81 MiB |  609.99 kbit/s
         04:40     12.80 MiB |    9.02 MiB |   21.82 MiB |  610.06 kbit/s
         04:45     12.55 MiB |    8.94 MiB |   21.49 MiB |  600.84 kbit/s
         04:50     12.82 MiB |    9.11 MiB |   21.93 MiB |  613.11 kbit/s
         04:55     12.70 MiB |    9.02 MiB |   21.73 MiB |  607.58 kbit/s
         05:00     12.58 MiB |    8.98 MiB |   21.56 MiB |  602.99 kbit/s
         05:05     12.79 MiB |    8.98 MiB |   21.78 MiB |  608.94 kbit/s
         05:10     12.86 MiB |    9.02 MiB |   21.88 MiB |  611.76 kbit/s
         05:15     12.78 MiB |    8.93 MiB |   21.71 MiB |  607.11 kbit/s
         05:20     12.57 MiB |    8.87 MiB |   21.44 MiB |  599.47 kbit/s
         05:25     12.85 MiB |    9.00 MiB |   21.85 MiB |  610.92 kbit/s
         05:30     12.83 MiB |    8.92 MiB |   21.75 MiB |  608.23 kbit/s
         05:35     12.58 MiB |    8.70 MiB |   21.29 MiB |  595.17 kbit/s
         05:40     12.77 MiB |    9.09 MiB |   21.85 MiB |  611.03 kbit/s
         05:45     12.80 MiB |    9.18 MiB |   21.98 MiB |  614.57 kbit/s
         05:50     12.73 MiB |    8.96 MiB |   21.68 MiB |  606.35 kbit/s
         05:55     12.61 MiB |    8.88 MiB |   21.49 MiB |  600.88 kbit/s
         06:00     30.09 MiB |    9.18 MiB |   39.27 MiB |    1.10 Mbit/s
         06:05     12.77 MiB |    8.92 MiB |   21.69 MiB |  606.49 kbit/s
         06:10     12.75 MiB |    9.02 MiB |   21.77 MiB |  608.79 kbit/s
         06:15     12.72 MiB |    8.88 MiB |   21.59 MiB |  603.83 kbit/s
         06:20     12.71 MiB |    8.92 MiB |   21.63 MiB |  604.79 kbit/s
         06:25     12.79 MiB |    9.00 MiB |   21.79 MiB |  609.36 kbit/s
         06:30     12.78 MiB |    9.01 MiB |   21.79 MiB |  609.29 kbit/s
         06:35     12.71 MiB |    9.10 MiB |   21.80 MiB |  609.69 kbit/s
         06:40     12.66 MiB |    8.89 MiB |   21.54 MiB |  602.41 kbit/s
         06:45     12.79 MiB |    8.91 MiB |   21.71 MiB |  606.95 kbit/s
         06:50     12.77 MiB |    9.22 MiB |   21.99 MiB |  614.88 kbit/s
         06:55     12.80 MiB |    8.99 MiB |   21.78 MiB |  609.14 kbit/s
         07:00     12.57 MiB |    8.93 MiB |   21.50 MiB |  601.21 kbit/s
         07:05     12.81 MiB |    9.10 MiB |   21.91 MiB |  612.69 kbit/s
         07:10     12.76 MiB |    9.10 MiB |   21.86 MiB |  611.22 kbit/s
         07:15     12.59 MiB |    8.92 MiB |   21.51 MiB |  601.36 kbit/s
         07:20     12.92 MiB |    9.08 MiB |   22.00 MiB |  615.16 kbit/s
         07:25     12.81 MiB |    9.14 MiB |   21.94 MiB |  613.59 kbit/s
         07:30     12.62 MiB |    8.84 MiB |   21.47 MiB |  600.26 kbit/s
         07:35     12.84 MiB |    9.08 MiB |   21.92 MiB |  612.93 kbit/s
         07:40     12.81 MiB |    9.02 MiB |   21.83 MiB |  610.37 kbit/s
         07:45     12.78 MiB |    9.15 MiB |   21.94 MiB |  613.44 kbit/s
         07:50     12.53 MiB |    8.81 MiB |   21.34 MiB |  596.61 kbit/s
         07:55     12.77 MiB |    9.04 MiB |   21.81 MiB |  609.87 kbit/s
         08:00     12.78 MiB |    9.02 MiB |   21.79 MiB |  609.33 kbit/s
         08:05     12.76 MiB |    9.04 MiB |   21.80 MiB |  609.70 kbit/s
         08:10     12.56 MiB |    8.93 MiB |   21.49 MiB |  600.89 kbit/s
         08:15     12.81 MiB |    9.04 MiB |   21.85 MiB |  611.06 kbit/s
         08:20     12.81 MiB |    9.03 MiB |   21.84 MiB |  610.74 kbit/s
         08:25     12.57 MiB |    8.79 MiB |   21.36 MiB |  597.38 kbit/s
         08:30     12.77 MiB |    9.33 MiB |   22.10 MiB |  617.96 kbit/s
         08:35     12.85 MiB |    9.17 MiB |   22.02 MiB |  615.61 kbit/s
         08:40     12.79 MiB |    9.23 MiB |   22.02 MiB |  615.86 kbit/s
         08:45     12.80 MiB |    9.07 MiB |   21.87 MiB |  611.56 kbit/s
         08:50     12.55 MiB |    8.93 MiB |   21.48 MiB |  600.53 kbit/s
         08:55     12.82 MiB |    9.10 MiB |   21.92 MiB |  612.97 kbit/s
         09:00     12.85 MiB |    9.13 MiB |   21.98 MiB |  614.68 kbit/s
         09:05     12.62 MiB |    8.79 MiB |   21.40 MiB |  598.46 kbit/s
         09:10     12.77 MiB |    9.11 MiB |   21.87 MiB |  611.58 kbit/s
         09:15     12.79 MiB |    9.04 MiB |   21.83 MiB |  610.36 kbit/s
         09:20     12.71 MiB |    8.79 MiB |   21.50 MiB |  601.27 kbit/s
         09:25     12.64 MiB |    8.84 MiB |   21.48 MiB |  600.66 kbit/s
         09:30     12.79 MiB |    8.92 MiB |   21.71 MiB |  606.97 kbit/s
         09:35     12.81 MiB |    9.04 MiB |   21.85 MiB |  610.85 kbit/s
         09:40     12.59 MiB |    8.95 MiB |   21.54 MiB |  602.31 kbit/s
         09:45     12.77 MiB |    9.01 MiB |   21.78 MiB |  608.93 kbit/s
         09:50     30.04 MiB |    9.12 MiB |   39.16 MiB |    1.09 Mbit/s
         09:55     12.64 MiB |    9.14 MiB |   21.78 MiB |  609.08 kbit/s
         10:00     12.75 MiB |    9.04 MiB |   21.79 MiB |  609.32 kbit/s
         10:05     12.79 MiB |    8.94 MiB |   21.73 MiB |  607.71 kbit/s
